Name,Team,G,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,FB,EV,Barrels,SB,playerid,DK Average
Robbie Grossman,DET,57,225,32,7,0,2,18,18,26,0,67,4,57,86.8,6,2,5254,5.14
Brad Miller,TEX,54,164,24,1,0,7,15,27,12,0,45,0,44,91.2,9,4,12775,5.09
Javier Baez,DET,60,244,29,13,1,7,20,25,11,0,58,2,56,87.9,16,3,12979,6.02
Brandon Marsh,LAA,67,242,37,7,0,6,25,30,16,1,84,2,47,89.1,12,4,20202,5.58
Victor Robles,WSN,63,187,29,7,1,1,24,19,10,0,49,6,35,83,5,6,18363,4.57
Tony Kemp,OAK,68,262,41,9,0,2,24,12,23,0,33,5,72,84.7,2,5,14894,5.01
Elvis Andrus,OAK,68,246,30,17,0,3,25,11,18,0,35,1,75,88.6,6,3,8709,4.85
Bobby Dalbec,BOS,67,203,24,6,1,5,23,17,18,0,57,3,54,89.9,11,1,19966,4.28
Christian Arroyo,BOS,36,103,13,3,0,4,11,13,3,0,17,3,31,88.3,10,3,16434,4.69
Geraldo Perdomo,ARI,66,225,29,5,2,2,22,14,29,0,52,2,43,84.9,4,1,22799,4.35
Bryan De La Cruz,MIA,55,142,20,4,0,4,15,14,10,0,34,1,23,88.7,6,2,19600,3.82
Trayce Thompson,- - -,12,33,4,1,0,1,3,7,3,0,15,0,4,83.3,1,1,9952,4.83
Enrique Hernandez,BOS,51,238,25,16,0,4,27,24,18,0,38,2,90,87.8,13,0,10472,6.61
Matt Duffy,LAA,45,143,31,4,0,0,7,5,9,0,30,0,26,86.5,2,0,13836,3.44
Adam Duvall,ATL,72,273,29,11,1,8,32,27,21,0,89,2,85,88,18,0,10950,5.47
Emmanuel Rivera,KCR,44,147,15,5,3,4,14,16,8,0,34,2,36,91.4,11,0,19890,4.86
Elias Diaz,COL,50,177,24,6,1,4,13,18,13,0,35,0,43,88.1,6,0,11680,4.76
Stephen Vogt,OAK,17,52,4,0,0,3,7,4,5,0,14,1,13,87.2,3,0,5000,4.47
Adam Frazier,SEA,73,303,46,12,1,2,28,21,27,1,34,1,77,84.8,3,2,15223,5.37
Seth Beer,ARI,27,93,13,3,0,1,4,9,8,1,24,3,18,87.5,2,0,20493,4.22
Spencer Torkelson,DET,65,236,27,9,0,4,19,16,25,0,61,2,54,88.8,10,0,27465,4.46
Jonathan Villar,CHC,46,166,24,6,2,2,19,15,11,0,42,0,27,90.2,3,6,10071,5.61
Jake Hager,ARI,21,51,8,1,0,0,3,3,7,0,15,0,11,79.5,1,0,12198,2.62
Travis Demeritte,ATL,26,96,14,2,0,3,9,6,6,0,32,0,19,88.8,4,0,15958,4.77
Luke Williams,- - -,29,47,8,2,0,0,7,4,4,0,14,0,9,79.7,0,3,19931,2.72
Sheldon Neuse,OAK,55,203,36,3,2,2,19,17,13,0,55,2,23,89.6,3,6,19635,5.29
Ryan McKenna,BAL,48,79,12,5,0,0,10,4,4,1,31,2,9,84.6,3,1,19928,2.25
Yan Gomes,CHC,37,124,21,5,0,3,9,8,2,0,23,0,32,85.1,3,0,9627,4.22
Willie Calhoun,TEX,18,53,2,3,0,1,7,2,8,0,6,1,19,89.8,1,0,17838,3.72
Oneil Cruz,PIT,7,28,4,3,0,0,4,7,0,0,7,0,9,91.1,2,1,21711,7.71
Dominic Smith,NYM,42,109,13,5,1,0,8,14,9,0,26,4,26,90,2,0,15653,3.38
Nick Senzel,CIN,46,181,32,5,0,1,21,12,11,0,35,2,41,88.3,5,5,19293,5.39
Eli White,TEX,47,117,16,2,0,3,16,10,11,0,41,0,27,86.4,3,12,19346,4.72
Avisail Garcia,MIA,58,235,38,7,0,5,21,21,8,0,64,4,46,88.8,13,3,5760,5.55
Miguel Andujar,NYY,12,43,9,2,0,0,4,3,1,0,7,0,14,85.1,2,3,15878,5.67
Oscar Mercado,CLE,49,119,12,6,1,4,17,16,3,0,27,1,46,86.6,6,2,16375,4.04
Whit Merrifield,KCR,71,320,48,15,0,3,33,30,22,0,46,0,97,87.3,11,10,11281,6.61
J.J. Matijevic,HOU,8,16,0,0,0,2,2,2,0,0,8,0,4,93,1,0,20165,3.50
Franmil Reyes,CLE,40,166,24,4,0,4,11,14,11,0,67,1,28,94.3,13,0,14566,5.15
Tyler Nevin,BAL,37,138,17,2,0,2,17,13,16,0,32,4,35,87.2,4,0,17893,4.89
Jonathan India,CIN,21,90,14,3,0,1,6,6,3,0,20,4,21,83.9,2,1,21523,5.24
Luke Maile,CLE,24,68,5,6,0,0,8,5,8,0,17,0,20,83.4,2,0,13355,3.63
Eloy Jimenez,CHW,11,39,6,1,0,1,2,7,2,0,10,0,7,92.6,2,0,17484,5.00
Jackie Bradley Jr.,BOS,65,222,28,14,1,1,12,22,15,0,45,0,49,88.3,7,2,12984,4.31
Leody Taveras,TEX,12,31,6,1,0,0,3,0,2,0,7,0,12,91.3,1,1,18900,3.17
Guillermo Heredia,ATL,37,60,1,2,1,3,9,6,6,0,26,0,14,86.1,5,0,18721,2.51
Jorge Mateo,BAL,67,243,28,10,2,5,23,17,12,0,78,3,56,86.6,10,19,17273,6.04
Myles Straw,CLE,68,289,38,12,1,0,42,8,33,0,48,1,69,86.1,1,11,17620,5.96
Rodolfo Castro,PIT,21,78,10,2,1,1,6,4,5,0,19,2,20,87,3,2,21987,4.86
Alan Trejo,COL,11,40,7,1,0,1,6,6,1,0,9,0,11,87.8,2,0,20056,5.64
Wil Myers,SDP,32,134,22,6,0,1,13,19,8,1,38,0,32,88.2,4,0,10047,5.88
Ildemaro Vargas,CHC,10,26,1,0,1,1,4,4,3,0,2,0,6,90.6,0,0,13324,4.30
Francisco Mejia,TBR,42,131,17,9,0,3,15,14,1,0,31,0,31,86,3,0,16403,4.43
Jason Heyward,CHC,48,151,21,5,1,1,15,10,11,0,32,3,40,87.6,5,1,4940,3.94
Aledmys Diaz,HOU,42,137,23,2,0,3,11,14,7,0,26,1,34,85.8,5,0,15937,4.17
Nicky Lopez,KCR,66,230,36,8,1,0,23,6,16,0,33,3,45,84.1,2,5,19339,4.20
Robinson Chirinos,BAL,41,139,10,8,0,2,7,15,14,0,42,3,34,84.4,7,1,3142,4.22
Jose Siri,HOU,45,141,15,4,2,3,18,9,9,0,45,2,32,89.1,6,6,17452,4.82
Diego Castillo,PIT,60,196,22,6,0,7,19,18,9,0,51,2,56,90,14,1,19906,4.45
Tyler Wade,LAA,63,155,26,5,0,1,22,8,8,0,32,1,35,83.6,2,7,15730,3.59
Reese McGuire,CHW,43,136,21,7,0,0,12,10,6,0,23,2,44,84.4,3,0,15674,3.67
Derek Hill,DET,31,92,16,2,0,1,8,3,5,0,28,0,15,85.2,2,3,16947,3.71
Andy Ibanez,TEX,40,128,21,4,0,1,13,9,9,0,21,0,44,88.3,6,3,18819,4.25
Yoshi Tsutsugo,PIT,35,135,15,3,0,2,8,15,18,0,31,0,34,88.8,5,0,27459,4.63
Yasmani Grandal,CHW,50,201,27,3,0,2,6,15,27,1,45,0,51,89.9,8,1,11368,4.38
Sam Haggerty,SEA,13,18,2,1,0,0,2,1,0,0,4,2,4,91.1,0,1,18054,2.00
Nick Plummer,NYM,14,31,1,1,0,2,4,6,1,0,12,1,5,89.1,2,0,18690,3.71
Josh Lowe,TBR,25,96,10,4,2,1,12,7,7,1,37,0,19,90,4,2,19953,5.60
Alcides Escobar,WSN,35,125,20,4,2,0,11,8,5,0,30,2,29,81.7,1,1,6310,4.37
Andrew Knizner,STL,44,136,17,4,0,1,9,12,13,0,29,3,37,85.7,3,0,19514,3.52
Adam Haseley,CHW,8,21,4,0,0,0,1,1,2,0,6,0,0,82.9,0,0,19878,2.50
Ivan Herrera,STL,8,11,2,0,0,0,0,1,1,0,4,0,2,84.9,0,0,20599,1.25
Erik Gonzalez,MIA,13,38,6,1,0,0,4,3,4,0,11,0,4,85.1,0,1,13369,3.85
Buddy Kennedy,ARI,8,27,1,0,1,1,4,5,3,0,8,0,10,90.6,1,0,22505,5.63
Zach Reks,TEX,16,34,8,1,0,0,3,3,0,0,10,0,10,86.3,0,0,19667,2.56
Jeimer Candelario,DET,56,211,24,6,2,5,20,17,11,0,51,2,62,86.7,13,0,13621,4.79
Hanser Alberto,LAD,35,71,12,3,0,1,7,4,1,0,13,0,15,82.1,1,0,11902,2.43
Max Schrock,CIN,7,11,3,0,0,0,0,1,0,0,2,0,1,77.5,0,0,17750,1.57
CJ Abrams,SDP,27,90,11,3,0,1,11,6,4,0,17,4,23,85.5,2,1,25768,4.19
Richie Martin,BAL,10,30,3,0,2,0,4,3,2,0,9,0,7,88.3,1,2,17736,5.30
Payton Henry,MIA,15,35,4,0,0,0,2,4,5,0,8,2,2,79.5,0,0,22164,2.53
Calvin Mitchell,PIT,26,88,9,5,0,2,4,7,4,0,23,0,18,90.6,2,1,22169,4.12
Jonathan Schoop,DET,70,274,32,12,1,6,21,21,10,0,57,2,70,88,12,1,11265,4.81
Matt Davidson,- - -,13,37,3,0,0,2,3,3,3,0,13,0,9,87.3,3,0,7226,3.62
Luis Torrens,SEA,36,118,22,2,0,0,8,8,8,0,38,1,15,88.9,2,0,15905,3.50
Jacob Stallings,MIA,57,185,27,4,0,2,17,21,15,0,45,1,40,85.4,4,0,13723,4.02
Ryan O'Hearn,KCR,31,59,9,1,0,1,4,7,4,0,17,0,5,92.6,1,0,16442,2.32
Charlie Culberson,TEX,40,69,14,1,0,0,13,7,3,0,19,0,9,84.5,1,2,3298,2.58
Taylor Walls,TBR,62,204,19,8,1,3,19,9,19,0,53,1,52,86.3,7,5,22458,4.13
