rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
181,Ian Happ,CHC,109,418,360,77,17,31.2%,21.5%,.214,.408,.194,12.0%,25.8%
182,Austin Meadows,- - -,83,354,313,70,17,49.0%,13.9%,.224,.444,.220,9.6%,19.5%
183,Yandy Diaz,TBR,101,425,374,97,9,31.4%,9.0%,.259,.374,.115,10.8%,13.6%
184,Victor Caratini,- - -,76,246,219,55,8,31.9%,15.7%,.251,.393,.142,9.8%,24.0%
185,Harold Ramirez,- - -,82,312,293,85,7,28.9%,9.6%,.290,.420,.130,3.2%,14.4%
186,Amed Rosario,CLE,105,448,423,119,8,26.9%,8.7%,.281,.421,.139,4.5%,18.8%
187,Brad Miller,- - -,98,284,253,58,14,41.0%,19.7%,.229,.423,.194,10.2%,28.2%
188,LaMonte Wade Jr.,SFG,53,198,174,44,6,38.6%,11.8%,.253,.391,.138,8.1%,21.2%
189,Kurt Suzuki,LAA,46,164,139,32,4,37.0%,10.0%,.230,.367,.137,8.5%,18.9%
190,Nick Gordon,MIN,59,206,188,49,3,26.2%,7.9%,.261,.399,.138,5.3%,20.9%
191,Riley Adams,- - -,37,114,95,22,1,36.2%,4.8%,.232,.326,.095,13.2%,32.5%
192,Jurickson Profar,SDP,111,411,366,93,6,33.6%,5.9%,.254,.377,.123,10.2%,14.8%
193,Manuel Margot,TBR,89,345,314,82,9,36.3%,9.6%,.261,.414,.153,7.5%,15.7%
194,Salvador Perez,KCR,110,454,426,101,27,44.4%,20.1%,.237,.472,.235,4.2%,28.0%
195,Seth Brown,OAK,98,319,293,60,22,48.5%,22.0%,.205,.481,.276,7.2%,27.9%
196,Daniel Vogelbach,- - -,73,245,211,46,10,36.3%,17.5%,.218,.389,.171,13.5%,22.4%
197,Charlie Blackmon,COL,106,415,372,94,8,32.2%,8.2%,.253,.387,.134,8.9%,16.6%
198,Gleyber Torres,NYY,90,370,337,90,8,35.5%,8.2%,.267,.389,.122,7.6%,17.6%
199,Aledmys Diaz,HOU,69,255,239,61,9,32.8%,14.1%,.255,.418,.163,4.3%,16.9%
200,Jazz Chisholm Jr.,MIA,87,353,317,70,16,39.2%,19.3%,.221,.426,.205,8.2%,28.9%
201,Eugenio Suarez,- - -,113,467,418,90,23,45.8%,17.7%,.215,.435,.220,7.9%,29.6%
202,Jose Siri,HOU,33,127,119,29,5,42.1%,15.6%,.244,.429,.185,3.9%,33.9%
203,Matt Chapman,- - -,109,454,396,88,18,52.2%,12.8%,.222,.409,.187,11.2%,29.1%
204,Dylan Carlson,STL,108,451,391,92,11,40.1%,9.3%,.235,.386,.151,10.0%,22.0%
205,C.J. Cron,COL,108,423,371,86,13,43.6%,11.3%,.232,.391,.159,9.5%,26.0%
206,Brendan Donovan,STL,26,104,87,21,0,26.2%,0.0%,.241,.299,.057,14.4%,21.2%
207,Gary Sanchez,- - -,91,366,324,70,15,42.8%,15.3%,.216,.410,.194,9.6%,26.5%
208,J.T. Realmuto,PHI,99,415,367,91,8,36.4%,8.1%,.248,.384,.136,8.9%,23.9%
209,David Peralta,ARI,107,384,346,86,9,30.6%,10.8%,.249,.405,.156,8.9%,20.3%
210,Carson Kelly,ARI,65,235,203,42,9,48.7%,12.0%,.207,.389,.182,11.5%,21.3%
211,Francisco Mejia,TBR,66,221,205,49,8,38.6%,13.1%,.239,.429,.190,5.0%,21.3%
212,Brian Anderson,MIA,46,180,159,38,4,34.0%,11.1%,.239,.358,.119,10.6%,29.4%
213,Jake Lamb,- - -,32,103,83,17,3,38.2%,14.3%,.205,.337,.133,15.5%,28.2%
214,Santiago Espinal,TOR,77,261,233,62,3,37.8%,3.9%,.266,.361,.094,8.8%,13.0%
215,Robbie Grossman,DET,103,459,391,87,11,44.2%,9.0%,.223,.345,.123,13.3%,24.8%
216,Ryan McMahon,COL,103,420,364,82,12,39.3%,11.9%,.225,.371,.146,11.7%,25.5%
217,Chris Taylor,LAD,115,478,419,96,9,36.3%,9.3%,.229,.375,.146,10.0%,31.4%
218,Trey Mancini,BAL,112,473,422,101,11,35.5%,10.2%,.239,.382,.142,8.5%,25.4%
219,Akil Baddoo,DET,67,255,228,55,7,37.2%,11.5%,.241,.386,.145,9.8%,25.9%
220,Austin Hays,BAL,106,445,417,101,16,39.7%,12.0%,.242,.417,.175,4.0%,18.4%
221,Jake Meyers,HOU,32,108,98,24,3,23.4%,20.0%,.245,.388,.143,5.6%,31.5%
222,Jed Lowrie,OAK,91,336,303,73,12,39.6%,12.9%,.241,.406,.165,8.3%,21.7%
223,Miguel Cabrera,DET,95,384,353,94,11,28.0%,15.1%,.266,.391,.125,5.7%,25.5%
224,Jeff McNeil,NYM,91,344,311,80,3,34.6%,3.3%,.257,.357,.100,7.6%,13.1%
225,Kevin Kiermaier,TBR,85,310,280,69,5,29.0%,8.6%,.246,.375,.129,8.4%,25.8%
226,Andy Ibanez,TEX,58,199,185,49,3,46.8%,4.1%,.265,.389,.124,6.0%,15.1%
227,Aramis Garcia,- - -,36,104,98,28,3,32.8%,14.3%,.286,.398,.112,1.0%,32.7%
228,Phil Gosselin,- - -,51,190,176,48,4,39.2%,7.8%,.273,.369,.097,6.8%,23.7%
229,Hunter Dozier,KCR,106,414,370,82,11,38.9%,10.8%,.222,.395,.173,8.9%,26.6%
230,Jorge Mateo,- - -,76,246,222,52,7,37.9%,12.1%,.234,.401,.167,6.5%,28.5%
231,Austin Slater,SFG,79,202,177,37,10,28.0%,30.3%,.209,.395,.186,10.9%,29.2%
232,Enrique Hernandez,BOS,92,410,363,81,13,49.8%,9.3%,.223,.394,.171,9.0%,21.2%
233,Rowdy Tellez,- - -,102,347,321,75,13,39.1%,13.1%,.234,.414,.181,5.8%,19.9%
234,Eric Hosmer,SDP,115,459,412,104,8,22.8%,10.4%,.252,.364,.112,9.4%,16.8%
