playerId,Name,Tm,IP,TBF,FIP,HR,WHIP,FB%,HardHit%,K%
17556,Jimmy Herget,2 Tms,26,117,5.191493838,3,1.38461539,0.43478261,0.36231884,0.22222222
17578,JT Brubaker,PIT,124,543,4.684349342,21,1.41129032,0.39722222,0.33972603,0.22651934
17583,Marcos Diplan,BAL,15.1,56,3.161246273,1,0.84782609,0.33333333,0.33333333,0.19642857
17586,Tanner Scott,2 Tms,39,173,3.371011815,2,1.35897436,0.29761905,0.17857143,0.32947977
17594,Mitch Keller,PIT,91,421,4.629422631,7,1.73626374,0.34768212,0.30491803,0.14489311
17606,Cristian Javier,HOU,102,443,4.848213776,16,1.38235294,0.46376812,0.31071429,0.23702032
17610,Tanner Rainey,WSN,33.2,140,3.695729135,4,1.0990099,0.5,0.41025641,0.31428571
17611,Taylor Clarke,2 Tms,48,207,4.458788523,6,1.39583333,0.37908497,0.37662338,0.16908213
17639,Justin Lawrence,COL,11.2,64,5.206644102,1,2.57142857,0.22580645,0.5,0.265625
17677,Jeffrey Springs,2 Tms,39,167,4.720846004,9,1.33333333,0.38317757,0.29357798,0.2754491
17682,Ralph Garza Jr.,3 Tms,21,96,5.625549133,4,1.61904762,0.5,0.43939394,0.1875
17722,Trevor Megill,2 Tms,16.1,72,2.604347369,2,1.34693878,0.33333333,0.48648649,0.38888889
17732,Nabil Crismatt,2 Tms,55.1,234,4.079068024,5,1.39156627,0.28977273,0.27683616,0.15811966
17734,Evan Phillips,3 Tms,26.1,105,2.656815287,0,0.98734177,0.265625,0.27272727,0.24761905
17735,Tyler Alexander,DET,41.1,169,2.902714199,2,1.06451613,0.37931034,0.22881356,0.22485207
17755,Drew Smith,NYM,32,133,5.344567137,6,1.15625,0.42857143,0.36904762,0.23308271
17780,Jose Alvarado,2 Tms,33.2,139,3.696364924,1,1.06930693,0.17721519,0.20253165,0.25179856
17783,Jake Brentz,KCR,24,103,4.665043492,2,1.25,0.375,0.31578947,0.24271845
17796,Dillon Tate,BAL,39.2,171,5.47715755,6,1.38655462,0.28455285,0.3495935,0.15204678
17859,Adbert Alzolay,CHC,66,290,6.476196667,20,1.43939394,0.39361702,0.36597938,0.22758621
17871,Ian Gibaut,2 Tms,10,44,5.385004091,2,1.5,0.25,0.53125,0.18181818
17874,Nestor Cortes,2 Tms,35.2,141,3.127044711,4,1.00934579,0.43023256,0.34482759,0.30496454
17878,Dennis Santana,2 Tms,39.2,157,4.04428057,3,1.15966387,0.3592233,0.33333333,0.20382166
