playerid,Name,Team, PA , HR , ISO , K% , FB% , Hard% , EV , LA , Barrel% , Hard%(FB) , vL-PA(2y) , vL-HR(2y) , vL-ISO(2y) , vL-K%(2y) , vL-FB%(2y) , vL-Hard%(2y) , vR-PA(2y) , vR-HR(2y) , vR-ISO(2y) , vR-K%(2y) , vR-FB%(2y) , vR-Hard%(2y) 
18721,Guillermo Heredia,ATL,60,3,0.241,0.433,0.5,0.393,86.1,12.8,0.179,0.5714,147,2,0.171,0.2381,0.3684,0.4211,296,8,0.144,0.274,0.3812,0.2473
17273,Jorge Mateo,BAL,243,5,0.129,0.321,0.384,0.242,86.6,13.7,0.067,0.2679,173,4,0.14,0.3353,0.3558,0.2523,307,5,0.121,0.28,0.398,0.2513
17620,Myles Straw,CLE,289, -   ,0.055,0.166,0.333,0.222,86.1,8.4,0.005,0.2174,312, -   ,0.035,0.2083,0.287,0.211,701,4,0.083,0.18,0.3671,0.2294
21987,Rodolfo Castro,PIT,78,1,0.099,0.244,0.385,0.173,87,7.5,0.058,0.2,55,3,0.216,0.1818,0.3415,0.2683,116,3,0.123,0.31,0.3571,0.2429
20056,Alan Trejo,COL,40,1,0.103,0.225,0.367,0.267,87.8,12.8,0.067,0.4545,29, -   ,0.038,0.2069,0.5714,0.3333,61,2,0.136,0.295,0.2683,0.2439
10047,Wil Myers,SDP,134,1,0.073,0.284,0.368,0.318,88.2,12,0.045,0.375,252,10,0.208,0.2381,0.3789,0.3497,600,23,0.193,0.292,0.3743,0.3495
13324,Ildemaro Vargas,CHC,26,1,0.217,0.077,0.286,0.381,90.6,5.1, -   ,0.3333,73,2,0.101,0.1918,0.3273,0.2727,90, -   ,0.11,0.167,0.2206,0.3676
16403,Francisco Mejia,TBR,131,3,0.14,0.237,0.313,0.212,86,9.6,0.03,0.2258,164,3,0.124,0.1646,0.2937,0.2143,286,7,0.158,0.217,0.4559,0.2609
4940,Jason Heyward,CHC,151,1,0.073,0.212,0.381,0.295,87.6,13.1,0.048,0.325,139,2,0.087,0.223,0.3299,0.3402,546,13,0.146,0.194,0.3227,0.32
19779,Dairon Blanco,KCR,7, -   , -   ,0.571, -   , -   ,83.5,-11.8, -   , -   ,3, -   , -   , -   , -   , -   ,4, -   , -   ,1, -   , -   
15937,Aledmys Diaz,HOU,137,3,0.085,0.19,0.333,0.282,85.8,12,0.049,0.2059,164,5,0.172,0.1646,0.371,0.3306,351,9,0.127,0.208,0.3242,0.3152
19339,Nicky Lopez,KCR,230, -   ,0.048,0.143,0.263,0.202,84.1,5,0.011,0.2667,246,2,0.06,0.1504,0.1798,0.2487,741,1,0.072,0.15,0.2509,0.2312
3142,Robinson Chirinos,BAL,139,2,0.116,0.302,0.43,0.263,84.4,19.3,0.088,0.3235,132,4,0.184,0.2803,0.3846,0.2949,201,4,0.118,0.308,0.4655,0.2542
17452,Jose Siri,HOU,141,3,0.131,0.319,0.381,0.247,89.1,15.6,0.071,0.2813,52,2,0.17,0.4038,0.5769,0.3462,138,5,0.178,0.297,0.3678,0.25
19906,Diego Castillo,PIT,196,7,0.148,0.26,0.418,0.366,90,14.8,0.104,0.5179,88,5,0.25,0.2841,0.4333,0.3667,108,2,0.061,0.241,0.4054,0.3649
15730,Tyler Wade,LAA,155,1,0.057,0.206,0.38,0.123,83.6,11.6,0.018,0.1714,94,1,0.059,0.2766,0.1964,0.0645,311,3,0.081,0.209,0.3591,0.1952
15674,Reese McGuire,CHW,136, -   ,0.057,0.169,0.444,0.124,84.4,13.7,0.029,0.1818,85, -   ,0.05,0.3059,0.3889,0.1429,313,2,0.085,0.166,0.3761,0.1841
16947,Derek Hill,DET,92,1,0.06,0.304,0.294,0.186,85.2,6.6,0.034,0.2667,93,1,0.122,0.2151,0.2459,0.2,161,3,0.084,0.348,0.3294,0.2857
18819,Andy Ibanez,TEX,128,1,0.059,0.164,0.449,0.255,88.3,14.9,0.061,0.3409,141,3,0.141,0.1064,0.45,0.3333,259,5,0.118,0.158,0.4315,0.2677
27459,Yoshi Tsutsugo,PIT,135,2,0.08,0.23,0.395,0.209,88.8,10.8,0.058,0.2647,154,5,0.161,0.3312,0.3708,0.3708,428,13,0.154,0.238,0.4583,0.2943
11368,Yasmani Grandal,CHW,201,2,0.052,0.224,0.395,0.233,89.9,13.5,0.062,0.2157,178,8,0.205,0.2247,0.4396,0.3804,592,25,0.189,0.245,0.3924,0.3623
18054,Sam Haggerty,SEA,18, -   ,0.063,0.222,0.333,0.417,91.1,20.7, -   , -   ,56,2,0.196,0.2679,0.3333,0.4167,110,1,0.069,0.3,0.2985,0.2754
18690,Nick Plummer,NYM,31,2,0.241,0.387,0.294,0.412,89.1,7.8,0.118,0.6,10, -   , -   ,0.1,0.25,0.125,21,2,0.35,0.524,0.3333,0.6667
19953,Josh Lowe,TBR,96,1,0.125,0.385,0.373,0.269,90,8.4,0.077,0.3158,24, -   , -   ,0.4167,0.4167,0.4167,74,1,0.164,0.365,0.35,0.2195
26151,Kyle Stowers,BAL,8, -   ,0.143,0.5,0.333, -   ,91.2,22.9, -   , -   ,1, -   , -   , -   , -   , -   ,7, -   ,0.143,0.571,0.3333, -   
6310,Alcides Escobar,WSN,125, -   ,0.068,0.24,0.333,0.102,81.7,15.3,0.011,0.0345,143, -   ,0.092,0.2028,0.3265,0.1881,331,4,0.107,0.172,0.2984,0.1772
19514,Andrew Knizner,STL,136,1,0.059,0.213,0.411,0.209,85.7,20.7,0.033,0.1892,80,1,0.083,0.275,0.36,0.28,258,1,0.054,0.198,0.3276,0.2457
19878,Adam Haseley,CHW,21, -   , -   ,0.286, -   , -   ,82.9,-17.4, -   , -   ,18, -   ,0.059,0.1667,0.3571,0.2,116, -   ,0.05,0.207,0.1538,0.1728
20599,Ivan Herrera,STL,11, -   , -   ,0.364,0.4,0.5,84.9,16.1, -   ,1, -   , -   , -   , -   , -   , -   ,11, -   , -   ,0.364,0.4,0.5
13369,Erik Gonzalez,MIA,38, -   ,0.029,0.289,0.182,0.174,85.1,-1.2, -   , -   ,133,4,0.168,0.1955,0.2121,0.27,327,1,0.061,0.232,0.2363,0.2563
22505,Buddy Kennedy,ARI,27,1,0.217,0.296,0.625,0.313,90.6,26.4,0.063,0.3,10,1,0.333,0.4,0.8,0.4,17, -   ,0.143,0.235,0.5455,0.2727
19667,Zach Reks,TEX,34, -   ,0.029,0.294,0.417,0.208,86.3,19, -   ,0.1,5, -   , -   ,0.4,0.6667, -   ,39, -   ,0.026,0.385,0.4167,0.2083
13621,Jeimer Candelario,DET,211,5,0.126,0.242,0.422,0.272,86.7,15.3,0.088,0.3065,268,7,0.172,0.2127,0.3523,0.3368,775,21,0.168,0.23,0.3608,0.3223
11902,Hanser Alberto,LAD,71,1,0.086,0.183,0.273,0.193,82.1,8.1,0.018,0.3333,228,3,0.13,0.136,0.3607,0.2713,329,3,0.108,0.116,0.3358,0.2473
17750,Max Schrock,CIN,11, -   , -   ,0.182,0.111, -   ,77.5,9.2, -   , -   ,15,1,0.286,0.2667,0.5,0.5,147,3,0.137,0.19,0.4107,0.2946
25768,CJ Abrams,SDP,90,1,0.076,0.189,0.365,0.2,85.5,7.9,0.031,0.3043,17, -   , -   ,0.2353,0.5,0.1667,73,1,0.095,0.178,0.3333,0.2075
17736,Richie Martin,BAL,30, -   ,0.143,0.3,0.368,0.368,88.3,7.2,0.053,0.5714,51, -   ,0.063,0.2353,0.3636,0.3056,84,1,0.077,0.298,0.3208,0.2
22164,Payton Henry,MIA,35, -   , -   ,0.229,0.1,0.1,79.5,-7.4, -   , -   ,19, -   , -   ,0.1053,0.2143,0.2857,32, -   ,0.037,0.344,0.1875,0.0625
22169,Calvin Mitchell,PIT,88,2,0.133,0.261,0.295,0.328,90.6,7.4,0.033,0.4444,37,1,0.143,0.2703,0.1923,0.3846,51,1,0.125,0.255,0.3714,0.2857
11265,Jonathan Schoop,DET,274,6,0.123,0.208,0.341,0.302,88,9.9,0.059,0.3286,294,11,0.178,0.2109,0.3474,0.3427,831,25,0.147,0.201,0.3203,0.278
7226,Matt Davidson,- - -,37,2,0.176,0.351,0.429,0.238,87.3,13.1,0.143,0.3333,47,5,0.372,0.2766,0.4667,0.4667,37, -   , -   ,0.351,0.4762,0.2381
15905,Luis Torrens,SEA,118, -   ,0.019,0.322,0.211,0.254,88.9,4.9,0.028,0.2,232,10,0.205,0.2457,0.3396,0.4088,342,6,0.1,0.278,0.2593,0.3257
13723,Jacob Stallings,MIA,185,2,0.06,0.243,0.325,0.226,85.4,8,0.032,0.35,226,5,0.121,0.2035,0.3613,0.3484,529,8,0.103,0.234,0.3285,0.2845
16442,Ryan O'Hearn,KCR,59,1,0.074,0.288,0.132,0.395,92.6,7.6,0.026,0.2,56, -   ,0.038,0.2857,0.25,0.2222,389,12,0.137,0.28,0.3415,0.3887
3298,Charlie Culberson,TEX,69, -   ,0.016,0.275,0.205,0.17,84.5,1.2,0.021,0.4444,198,4,0.158,0.1919,0.2808,0.245,149,1,0.052,0.329,0.3294,0.2529
22458,Taylor Walls,TBR,204,3,0.103,0.26,0.397,0.26,86.3,15.3,0.053,0.3269,125, -   ,0.046,0.208,0.4096,0.2771,255,4,0.119,0.298,0.3467,0.3092
13768,Travis Jankowski,NYM,48, -   , -   ,0.146,0.176,0.111,79,-1.2, -   ,0.1667,40, -   ,0.054,0.25,0.1923,0.1786,182,1,0.072,0.181,0.2523,0.15
19522,T.J. Friedl,CIN,100, -   ,0.089,0.18,0.479,0.28,87,19.2,0.027,0.2941,14, -   ,0.143, -   ,0.4615,0.3571,122,1,0.093,0.164,0.4886,0.2637
21454,Lars Nootbaar,STL,68,2,0.131,0.338,0.216,0.256,91.5,6.1,0.051,0.375,33,1,0.214,0.2424,0.4286,0.3182,159,6,0.155,0.27,0.3158,0.27
24703,Jonah Bride,OAK,44, -   ,0.024,0.068,0.395,0.368,86,11.7,0.026,0.4,11, -   , -   , -   ,0.3636,0.1818,33, -   ,0.033,0.091,0.4074,0.4444
4418,Jed Lowrie,OAK,167,3,0.086,0.228,0.439,0.209,85.8,18.3,0.026,0.16,226,3,0.092,0.2168,0.3711,0.3145,453,14,0.159,0.214,0.4448,0.3366
13807,Kevin Plawecki,BOS,83,1,0.071,0.205,0.407,0.291,89.4,13.4, -   ,0.2273,129,3,0.108,0.1163,0.3429,0.2571,216,2,0.095,0.194,0.4122,0.3
19844,Abraham Toro,SEA,210,7,0.154,0.152,0.479,0.242,87.5,16.9,0.085,0.2658,219,2,0.072,0.1689,0.4151,0.2893,463,19,0.171,0.156,0.4391,0.2748
10200,Tucker Barnhart,DET,153, -   ,0.028,0.301,0.284,0.227,84.8,7.1,0.01,0.1481,115,1,0.076,0.2957,0.2958,0.3194,536,11,0.116,0.261,0.3628,0.2948
12859,James McCann,NYM,72,1,0.078,0.194,0.412,0.385,89.9,15.1,0.077,0.381,193,6,0.151,0.2124,0.3828,0.3828,402,12,0.13,0.294,0.2874,0.2891
10762,Corey Dickerson,STL,106,2,0.092,0.189,0.38,0.19,86.8,15.8,0.051,0.2333,119,3,0.147,0.2269,0.3494,0.2289,562,12,0.129,0.171,0.3325,0.3231
20521,Nick Madrigal,CHC,115, -   ,0.028,0.148,0.187,0.196,86.4,-0.6, -   ,0.2353,128,2,0.106,0.0547,0.181,0.2393,311, -   ,0.059,0.109,0.1976,0.1961
5517,Kyle Higashioka,NYY,122,4,0.144,0.23,0.506,0.379,92,22,0.115,0.3256,131,7,0.21,0.2137,0.5567,0.4433,250,11,0.189,0.28,0.4843,0.3333
17161,Chad Wallach,LAA,36,1,0.125,0.194,0.4,0.308,87.5,17.7,0.077,0.5,48,1,0.171,0.3542,0.32,0.1852,102,1,0.074,0.333,0.3226,0.3387
17216,Monte Harrison,LAA,3, -   , -   ,0.667, -   ,,,,, -   ,32,1,0.148,0.4063,0.2143,0.2667,33, -   ,0.031,0.545,0.2143,0.2143
19806,Jason Delay,PIT,3, -   , -   , -   ,0.5,0.5,83.8,12.6, -   ,1,3, -   , -   , -   ,0.5,0.5, -   , -   , -   , -   , -   , -   
20533,Mickey McDonald,OAK,6, -   , -   ,0.5, -   , -   ,89.3,6.3, -   , -   ,1, -   , -   , -   , -   , -   ,5, -   , -   ,0.6, -   , -   
17232,Yoan Moncada,CHW,113,3,0.113,0.274,0.365,0.227,87.6,12.4,0.067,0.2222,222,4,0.11,0.3333,0.2288,0.322,738,19,0.157,0.252,0.3467,0.3739
21614,Kyle Isbel,KCR,103, -   ,0.061,0.223,0.293,0.368,91.2,4.5,0.039,0.4091,34, -   ,0.063,0.3235,0.35,0.3333,152,1,0.113,0.23,0.3679,0.3241
17954,Sam Hilliard,COL,126,2,0.107,0.27,0.388,0.363,91.6,13.9,0.113,0.3226,109,6,0.188,0.3486,0.375,0.2969,369,16,0.212,0.339,0.3775,0.3641
13755,Tomas Nido,NYM,143, -   ,0.023,0.294,0.253,0.255,86.7,6.3,0.032,0.5455,109,2,0.088,0.2661,0.2466,0.4247,221,3,0.083,0.285,0.2979,0.2703
22558,Jarred Kelenic,SEA,96,3,0.151,0.375,0.49,0.275,84.5,16.7,0.098,0.32,165,2,0.073,0.297,0.3465,0.2353,308,15,0.217,0.302,0.4751,0.3204
19314,Donovan Walton,- - -,62,1,0.167,0.177,0.327,0.143,85.4,5.1,0.061,0.1875,32,2,0.323,0.0938,0.3214,0.2857,113,1,0.105,0.248,0.2895,0.1646
7007,Yadier Molina,STL,138,2,0.081,0.167,0.425,0.23,87.2,15.1,0.035,0.2708,142,5,0.194,0.1549,0.463,0.3426,625,12,0.088,0.162,0.3745,0.2828
15482,Aristides Aquino,CIN,90,3,0.149,0.456,0.391,0.304,84.8,14.9,0.109,0.3333,172,8,0.188,0.3314,0.4787,0.2979,178,7,0.189,0.433,0.4146,0.3537
12394,Jason Krizan,SFG,10, -   , -   ,0.3,0.4,0.6,94.5,9.2, -   ,0.5,1, -   , -   , -   , -   , -   ,9, -   , -   ,0.333,0.4,0.6
20242,Kevin Smith,OAK,151,2,0.122,0.278,0.459,0.245,87,16.4,0.078,0.3111,76,2,0.188,0.2632,0.54,0.2549,111,1,0.069,0.297,0.5072,0.2778
20325,Alex Kirilloff,MIN,64, -   ,0.068,0.297,0.415,0.341,90.9,11.2,0.024,0.4118,87,3,0.159,0.2184,0.2698,0.2063,208,5,0.146,0.25,0.338,0.4085
20352,Ernie Clement,CLE,113, -   ,0.029,0.159,0.337,0.198,86,8.6,0.047,0.2143,106,3,0.102,0.1226,0.3571,0.2558,140, -   ,0.048,0.171,0.3636,0.1714
15402,Jack Mayfield,LAA,74,1,0.086,0.23,0.415,0.208,84.5,13.5,0.019,0.1818,142,5,0.153,0.2183,0.449,0.2475,269,6,0.13,0.253,0.4469,0.2717
15055,Dom Nunez,COL,36, -   ,0.036,0.194,0.609,0.435,85.3,15.8,0.043,0.5,45,2,0.146,0.3556,0.5833,0.24,254,8,0.2,0.323,0.5,0.4118
14735,Brett Phillips,TBR,158,4,0.112,0.411,0.416,0.247,88.9,21.6,0.049,0.25,118,1,0.038,0.4576,0.3125,0.1509,391,18,0.227,0.355,0.4314,0.351
26294,Bryson Stott,PHI,157,4,0.11,0.242,0.458,0.185,85.7,19.6,0.037,0.1837,40,1,0.139,0.325,0.5217,0.2174,117,3,0.1,0.214,0.4405,0.1765
13897,Tyler Heineman,- - -,87, -   ,0.051,0.126,0.41,0.186,82.7,20.7, -   ,0.12,55, -   ,0.02,0.1273,0.425,0.2045,82, -   ,0.056,0.122,0.5,0.125
12976,Austin Hedges,CLE,160,5,0.111,0.25,0.456,0.222,83.5,20,0.037,0.1915,166,6,0.143,0.2771,0.4851,0.2358,389,12,0.119,0.267,0.4372,0.2471
6887,Martin Maldonado,HOU,181,5,0.129,0.315,0.425,0.339,91,14.1,0.092,0.3778,234,9,0.166,0.2821,0.4058,0.3191,538,14,0.122,0.314,0.4169,0.2757
5491,Austin Romine,LAA,9, -   , -   ,0.333,0.4, -   ,83,24.9, -   , -   ,46,2,0.182,0.1087,0.3077,0.2564,160,1,0.052,0.419,0.3295,0.2809
14329,Anthony Alford,PIT,4, -   , -   ,0.5,0.5, -   ,82.9,24.8, -   , -   ,63,3,0.172,0.3968,0.4545,0.303,118,4,0.196,0.364,0.4063,0.2813
17276,Alex Jackson,MIL,12, -   , -   ,0.583,0.2, -   ,79.7,17, -   , -   ,50, -   , -   ,0.46,0.5,0.3182,120,3,0.133,0.508,0.4091,0.3409
17642,JT Riddle,CIN,4, -   , -   ,0.25,0.333,0.333,92,9.9, -   , -   ,11, -   ,0.091,0.1818,0.3333,0.4444,68,1,0.061,0.176,0.2963,0.2778
13265,Mike Zunino,TBR,123,5,0.157,0.374,0.543,0.357,91.8,20.8,0.086,0.3421,194,19,0.399,0.3041,0.6316,0.3684,388,23,0.226,0.402,0.5,0.4031
19873,Drew Ellis,- - -,17, -   ,0.063,0.412,0.333,0.222,88.4,9.4, -   ,0.3333,44, -   ,0.059,0.2273,0.375,0.25,55,1,0.078,0.436,0.5185,0.2222
17719,Steven Duggar,- - -,40, -   ,0.081,0.4,0.455,0.455,92.8,15.7,0.091,0.5,54,1,0.085,0.3148,0.4138,0.1333,319,7,0.168,0.307,0.3505,0.3231
5222,Justin Upton,SEA,34, -   ,0.034,0.382,0.5,0.125,86.3,25.1, -   , -   ,192,13,0.262,0.3125,0.4722,0.3704,370,13,0.16,0.278,0.4273,0.3656
17992,David Fletcher,LAA,41, -   ,0.105,0.049,0.389,0.111,82.8,8.1, -   ,0.0714,295,3,0.108,0.0576,0.288,0.2213,641,2,0.06,0.109,0.2589,0.1645
22093,Steele Walker,TEX,16,1,0.214,0.25,0.5,0.3,88.2,19.4,0.2,0.4,1, -   , -   , -   , -   , -   ,15,1,0.231,0.267,0.5556,0.3333
18142,Patrick Mazeika,NYM,51,1,0.125,0.118,0.405,0.116,84.7,16,0.047,0.1176,34, -   ,0.063,0.1176,0.3704,0.2414,104,2,0.105,0.192,0.3467,0.1974
14196,Andrew Velazquez,LAA,208,4,0.093,0.322,0.358,0.295,89.9,11.6,0.054,0.3864,121, -   ,0.053,0.2893,0.2,0.225,232,5,0.114,0.336,0.4341,0.3066
18371,Jermaine Palacios,MIN,28, -   , -   ,0.25,0.333,0.263,89.5,6,0.053,0.3333,7, -   , -   ,0.1429,0.5,0.1667,21, -   , -   ,0.286,0.25,0.3077
14773,Yu Chang,- - -,59,1,0.077,0.424,0.667,0.37,90.3,22.2,0.111,0.4444,177,5,0.158,0.2938,0.4298,0.2632,146,5,0.185,0.315,0.4831,0.3371
17040,Jose Herrera,ARI,90, -   ,0.024,0.311,0.182,0.179,84.1,2.9, -   ,0.1,18, -   , -   ,0.2778,0.0833,0.0833,72, -   ,0.03,0.319,0.2093,0.2045
20572,Kody Clemens,DET,41,1,0.111,0.244,0.481,0.222,87.9,21.5, -   ,0.1538,7,1,0.429,0.4286,0.25,0.75,34, -   ,0.034,0.206,0.5217,0.1304
17022,Edmundo Sosa,STL,90, -   ,0.047,0.256,0.387,0.306,87.9,12.4,0.032,0.2917,112,1,0.139,0.2232,0.3377,0.3117,304,5,0.088,0.201,0.2844,0.2394
9077,Lorenzo Cain,MIL,156,1,0.055,0.231,0.282,0.236,87.9,3.8, -   ,0.2903,133,1,0.078,0.1504,0.3333,0.3229,330,8,0.122,0.2,0.2917,0.2583
16925,Aramis Garcia,CIN,103,1,0.052,0.282,0.388,0.261,87.4,20.4,0.029,0.1923,46, -   , -   ,0.2174,0.2647,0.3235,151,4,0.107,0.311,0.3871,0.2371
16593,Kevin Padlo,- - -,22, -   ,0.048,0.364,0.462,0.308,95,15.6, -   ,0.5,24, -   ,0.045,0.5,0.7,0.5,13, -   ,0.083,0.385,0.2857,0.1429
17468,Kelvin Gutierrez,BAL,33, -   ,0.036,0.242,0.3,0.35,89.6,5.9,0.048,0.6667,104,2,0.126,0.2885,0.2308,0.4,236,1,0.056,0.254,0.2468,0.2727
20536,Vidal Brujan,TBR,135,2,0.089,0.23,0.358,0.253,86,13.4,0.021,0.2059,63,2,0.155,0.1905,0.4783,0.2391,98, -   ,0.022,0.276,0.2836,0.2687
19260,Jake Fraley,CIN,48,1,0.116,0.25,0.452,0.258,85.2,20.4,0.032,0.2857,106,1,0.044,0.3491,0.2453,0.2075,236,9,0.197,0.242,0.413,0.3237
10030,Chris Owings,BAL,68, -   ,0.036,0.353,0.267,0.091,80.4,10.8,0.03,0.25,78,1,0.182,0.2949,0.3571,0.2791,84,2,0.135,0.321,0.3913,0.25
5913,Leury Garcia,CHW,182,2,0.064,0.214,0.319,0.203,87.2,7.6,0.058,0.2558,181,2,0.091,0.2155,0.2598,0.2331,538,8,0.106,0.197,0.2732,0.2558
22168,Akil Baddoo,DET,55,1,0.08,0.273,0.429,0.171,84.2,12,0.029,0.0667,119, -   ,0.037,0.3109,0.2877,0.2055,397,14,0.206,0.252,0.4258,0.3242
5384,Juan Lagares,LAA,62, -   ,0.067,0.242,0.467,0.333,88.4,14.4,0.022,0.2857,142,3,0.188,0.1972,0.4286,0.3925,247,3,0.089,0.255,0.3095,0.358
16285,Michael Hermosillo,CHC,35, -   ,0.036,0.4,0.286,0.357,85.8,17.5,0.214,0.5,49,1,0.122,0.3878,0.4545,0.3636,34,2,0.226,0.235,0.5,0.3333
16221,Bradley Zimmer,TOR,73,1,0.109,0.411,0.355,0.257,87.7,5.9,0.086,0.3636,113,1,0.051,0.3717,0.2222,0.2542,358,9,0.133,0.346,0.3509,0.337
19948,Cristian Pache,OAK,205,2,0.068,0.263,0.263,0.264,89.9,3.8,0.043,0.2778,83,1,0.117,0.1807,0.3065,0.2381,194,2,0.055,0.34,0.2743,0.2353
19354,Luke Raley,TBR,8, -   , -   ,0.375,0.5,0.25,91.2,16.2, -   , -   ,19, -   , -   ,0.2105,0.2143,0.1429,61,2,0.127,0.393,0.3333,0.3871
19553,Simon Muzziotti,PHI,9, -   , -   ,0.222,0.4,0.333,88.1,16.7, -   , -   , -   , -   , -   , -   , -   , -   ,9, -   , -   ,0.222,0.4,0.3333
19956,Mickey Moniak,PHI,29, -   , -   ,0.379,0.214,0.067,80.4,-1.3, -   , -   ,15, -   , -   ,0.6,0.4,0.5,69,1,0.052,0.348,0.2353,0.1429
24765,Bryan Lavastida,CLE,15, -   , -   ,0.267,0.375, -   ,87.6,6.2, -   , -   ,2, -   , -   ,1, -   , -   ,13, -   , -   ,0.154,0.375, -   
13854,Anthony Bemboom,BAL,59,1,0.096,0.288,0.382,0.25,90.1,7,0.056,0.1538,39,2,0.182,0.3077,0.5238,0.1304,108,2,0.096,0.259,0.3125,0.2941
22896,Lenyn Sosa,CHW,10, -   ,0.111,0.3,0.167, -   ,83.1,-4, -   , -   ,1, -   , -   ,1, -   , -   ,9, -   ,0.125,0.222,0.1667, -   
18015,Paul DeJong,STL,86,1,0.078,0.291,0.491,0.226,86.8,22.7,0.057,0.1154,136,4,0.144,0.3162,0.5333,0.36,526,19,0.156,0.257,0.4484,0.3363
13546,Roman Quinn,PHI,40, -   ,0.027,0.375,0.5,0.227,90.9,25.7,0.045,0.1111,88,2,0.11,0.2841,0.3265,0.2105,130, -   ,0.078,0.369,0.2807,0.2647
19859,Rene Pinto,TBR,29,1,0.103,0.517,0.571,0.214,90.5,20.4,0.071,0.25,6, -   , -   ,0.5,1, -   ,23,1,0.13,0.522,0.4545,0.2727
12164,Miguel Sano,MIN,65,1,0.056,0.323,0.618,0.265,93.8,31.3,0.147,0.2381,243,7,0.126,0.3374,0.3636,0.4545,559,37,0.284,0.379,0.4685,0.4406
14942,Andrew Knapp,PIT,35, -   ,0.032,0.257,0.286,0.182,85.3,12.7, -   ,0.3333,69, -   ,0.045,0.3333,0.3256,0.1818,214,4,0.105,0.308,0.3545,0.322
19245,Chris Okey,CIN,13, -   , -   ,0.385,0.286,0.429,86.2,15.9, -   ,0.5,4, -   , -   ,0.5,0.5, -   ,9, -   , -   ,0.333,0.2,0.6
12977,Michael Perez,PIT,83,3,0.115,0.265,0.5,0.304,91.3,18.2,0.071,0.3214,66,1,0.074,0.2727,0.3143,0.2778,341,10,0.132,0.29,0.4384,0.3045
12649,Alex Dickerson,ATL,36,1,0.091,0.25,0.458,0.333,90.1,18.2,0.083,0.4545,39,2,0.188,0.2308,0.3043,0.3913,479,22,0.211,0.221,0.4182,0.3485
2829,Manny Pina,ATL,17, -   , -   ,0.059,0.429,0.214,81.9,9,0.071,0.3333,118,6,0.23,0.1356,0.5,0.2619,152,9,0.218,0.224,0.4455,0.3663
20543,Elehuris Montero,COL,21, -   ,0.048,0.381,0.462,0.462,92.6,16.4,0.231,0.5,9, -   , -   ,0.3333,0.5,0.3333,12, -   ,0.083,0.417,0.4286,0.5714
16417,Sergio Alcantara,- - -,94,1,0.08,0.255,0.375,0.194,86.1,11.5,0.03,0.25,110,1,0.073,0.2273,0.3014,0.2329,262,6,0.138,0.294,0.3935,0.3375
8418,Ehire Adrianza,WSN,34, -   ,0.031,0.265,0.348,0.217,87.2,14.5, -   ,0.25,120,1,0.087,0.1917,0.2375,0.3086,224,4,0.136,0.228,0.4333,0.25
10847,Andrelton Simmons,CHC,68, -   , -   ,0.162,0.264,0.127,81.5,-0.1, -   ,0.1429,218,2,0.065,0.1606,0.2622,0.2424,428,1,0.038,0.126,0.2708,0.1763
11339,Jake Marisnick,PIT,52, -   ,0.041,0.25,0.394,0.216,85.9,16.8, -   ,0.1538,134,3,0.163,0.2761,0.4,0.3182,150,4,0.141,0.34,0.3333,0.2989
10953,Phil Gosselin,ATL,10, -   , -   ,0.4,0.5,0.5,93.4,17.1, -   ,0.3333,224,4,0.1,0.1696,0.4099,0.3129,261,6,0.118,0.284,0.3275,0.2717
20308,Jake Meyers,HOU,10, -   , -   ,0.5, -   ,0.2,87.3,2.2, -   , -   ,61,3,0.254,0.3443,0.2895,0.4211,112,3,0.113,0.304,0.3281,0.2727
22515,Heliot Ramos,SFG,14, -   , -   ,0.214,0.3,0.4,92.8,8.3,0.1,0.3333,12, -   , -   ,0.1667,0.2222,0.3333,2, -   , -   ,0.5,1,1
18032,Mark Mathias,MIL,17,1,0.188,0.235,0.462,0.385,90.8,18,0.077,0.3333,34,1,0.182,0.1765,0.3571,0.3214,19, -   , -   ,0.263,0.4615,0.1429
17326,Cole Tucker,PIT,63, -   ,0.048,0.397,0.263,0.211,82.4,4.8,0.079,0.4,83,1,0.053,0.2771,0.3585,0.2264,227,2,0.089,0.291,0.2953,0.24
3269,Robinson Cano,- - -,77,1,0.041,0.273,0.288,0.283,87.2,3,0.057,0.4,66,4,0.258,0.1364,0.2745,0.3208,193,7,0.142,0.187,0.2635,0.3378
17710,Matt Beaty,SDP,40, -   ,0.081,0.15,0.387,0.258,84.2,10.2, -   ,0.1667,31,1,0.214,0.1935,0.4091,0.1818,297,8,0.118,0.195,0.3561,0.3073
19768,Rylan Bannon,BAL,15, -   , -   ,0.333,0.333,0.111,88.7,0.9, -   , -   ,8, -   , -   ,0.25,0.3333,0.1667,7, -   , -   ,0.429,0.3333, -   
13769,Adalberto Mondesi,KCR,54, -   , -   ,0.37,0.36,0.3,88,7.8,0.033,0.4444,106,7,0.307,0.2453,0.4795,0.4267,317,5,0.109,0.338,0.3653,0.3385
13620,Carson Kelly,ARI,98,1,0.056,0.255,0.493,0.284,87.1,15.8,0.045,0.2727,218,11,0.22,0.1743,0.4645,0.3419,368,8,0.108,0.245,0.4167,0.3167
8722,Jason Castro,HOU,84, -   ,0.027,0.464,0.333,0.222,89,9,0.028,0.3333,90,1,0.078,0.3889,0.4524,0.3409,265,9,0.186,0.343,0.375,0.3897
