rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,EV,Barrel%,HardHit%,BB%,K%,SwStr%,Pitches,SB,CS
225,Avisail Garcia,MIA,10,42,41,10,2,10.0%,66.7%,.244,.415,.171,85.6,10.0%,33.3%,26.2%,2.4%,20.8%,144,0,0
226,Jose Iglesias,COL,11,44,41,10,1,5.9%,50.0%,.244,.366,.122,85.4,2.9%,26.5%,15.9%,6.8%,6.3%,159,0,0
227,Oneil Cruz,PIT,14,56,54,11,3,48.6%,17.6%,.204,.444,.241,92.6,17.1%,37.1%,33.9%,3.6%,12.4%,226,1,1
228,Luis Robert,CHW,12,52,51,13,2,33.3%,15.4%,.255,.431,.176,86.8,10.3%,35.9%,25.0%,0.0%,23.7%,169,0,0
229,Aaron Hicks,NYY,13,42,35,6,1,45.5%,10.0%,.171,.314,.143,90.9,9.1%,40.9%,31.0%,16.7%,10.1%,189,0,0
230,Garrett Hampson,COL,4,11,9,2,0,42.9%,0.0%,.222,.222,.000,85.1,0.0%,28.6%,18.2%,18.2%,10.0%,40,0,0
231,Eric Hosmer,SDP,11,43,42,10,2,33.3%,18.2%,.238,.429,.190,91.1,12.1%,42.4%,20.9%,2.3%,10.2%,166,0,0
232,Jonathan Villar,- - -,5,18,16,3,0,25.0%,0.0%,.188,.375,.188,92.0,0.0%,58.3%,22.2%,11.1%,7.6%,79,0,0
233,Jon Berti,MIA,12,54,47,11,0,23.1%,0.0%,.234,.319,.085,87.5,2.6%,41.0%,16.7%,9.3%,7.8%,218,7,2
234,Santiago Espinal,TOR,13,54,50,12,1,28.6%,8.3%,.240,.340,.100,88.2,0.0%,31.0%,14.8%,7.4%,7.8%,204,0,0
235,Kurt Suzuki,LAA,5,16,15,3,1,66.7%,12.5%,.200,.400,.200,90.7,16.7%,41.7%,18.8%,6.3%,10.9%,55,0,0
236,Josh Smith,TEX,10,36,29,6,0,31.6%,0.0%,.207,.207,.000,86.9,0.0%,15.0%,25.0%,19.4%,8.8%,171,1,1
237,Jake Burger,CHW,9,26,24,5,0,47.1%,0.0%,.208,.375,.167,87.7,11.8%,23.5%,26.9%,3.8%,14.9%,94,0,0
238,Jose Ramirez,CLE,13,56,51,12,0,53.5%,0.0%,.235,.353,.118,87.7,0.0%,30.2%,16.1%,5.4%,6.0%,234,1,0
239,Phil Gosselin,ATL,7,12,11,3,0,37.5%,0.0%,.273,.273,.000,91.5,0.0%,50.0%,25.0%,8.3%,6.1%,49,0,0
240,Carson Kelly,ARI,7,29,26,4,2,47.8%,18.2%,.154,.462,.308,87.8,8.7%,34.8%,13.8%,3.4%,4.6%,109,0,0
241,Spencer Torkelson,DET,10,38,33,7,1,40.7%,9.1%,.212,.333,.121,89.3,11.1%,44.4%,18.4%,7.9%,9.8%,133,0,0
242,Luis Garcia,WSN,11,40,40,10,0,35.3%,0.0%,.250,.400,.150,85.0,14.7%,26.5%,15.0%,0.0%,12.1%,141,1,0
243,Dylan Moore,SEA,12,35,25,3,1,70.6%,8.3%,.120,.240,.120,86.9,11.8%,35.3%,25.7%,22.9%,7.3%,177,1,1
244,Jordan Luplow,ARI,7,23,20,3,1,64.3%,11.1%,.150,.350,.200,85.7,7.1%,21.4%,26.1%,8.7%,15.8%,95,0,0
245,Bobby Dalbec,BOS,10,23,19,4,0,10.0%,0.0%,.211,.211,.000,94.1,0.0%,50.0%,39.1%,17.4%,9.9%,121,1,0
246,Alek Thomas,ARI,11,43,40,7,2,23.3%,28.6%,.175,.400,.225,87.2,6.7%,33.3%,23.3%,7.0%,16.0%,163,1,0
247,Lane Thomas,WSN,10,35,33,7,1,44.4%,8.3%,.212,.364,.152,81.9,3.7%,14.8%,17.1%,5.7%,9.2%,130,0,0
248,Mike Trout,LAA,11,46,40,7,2,58.3%,14.3%,.175,.425,.250,92.8,12.5%,62.5%,34.8%,13.0%,14.5%,193,0,0
249,Tyler Nevin,BAL,9,29,22,3,0,38.5%,0.0%,.136,.182,.045,88.6,0.0%,38.5%,31.0%,24.1%,11.3%,150,0,0
250,Austin Wynns,SFG,9,24,22,4,1,37.5%,16.7%,.182,.364,.182,85.5,6.3%,31.3%,25.0%,8.3%,5.9%,101,0,0
251,Robbie Grossman,DET,10,40,35,7,0,52.2%,0.0%,.200,.286,.086,89.6,0.0%,43.5%,30.0%,12.5%,8.5%,176,0,0
252,Kevin Kiermaier,TBR,4,15,13,3,0,25.0%,0.0%,.231,.231,.000,79.6,0.0%,12.5%,33.3%,13.3%,17.9%,56,0,0
253,Jonathan India,CIN,11,45,40,7,2,35.5%,18.2%,.175,.325,.150,83.5,6.5%,29.0%,20.0%,4.4%,10.2%,177,1,0
254,Harold Castro,DET,6,21,19,4,0,7.7%,0.0%,.211,.316,.105,89.0,0.0%,38.5%,28.6%,9.5%,6.4%,94,0,0
