rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
157,Tommy Pham,- - -,111,236,195,44,8,36.8%,15.1%,.226,.390,.164,16.5%,22.0%
158,Wil Myers,SDP,93,182,157,40,5,36.8%,11.9%,.255,.414,.159,12.6%,24.2%
159,Cesar Hernandez,- - -,139,314,284,72,13,32.7%,18.1%,.254,.437,.183,8.9%,19.1%
160,DJ LeMahieu,NYY,139,304,267,74,6,29.1%,8.7%,.277,.382,.105,10.9%,10.5%
161,Miguel Cabrera,DET,94,223,198,60,3,24.2%,8.1%,.303,.369,.066,10.3%,21.1%
162,Ronald Torreyes,PHI,60,126,116,33,3,38.0%,7.9%,.284,.414,.129,7.1%,12.7%
163,Chad Pinder,OAK,88,195,179,46,7,27.1%,20.0%,.257,.447,.190,6.7%,26.2%
164,Michael A. Taylor,KCR,116,221,200,55,6,32.9%,13.0%,.275,.410,.135,8.1%,26.7%
165,Joc Pederson,- - -,84,141,126,33,4,28.3%,15.4%,.262,.405,.143,7.8%,24.1%
166,Andrew Benintendi,KCR,128,257,236,68,4,32.3%,6.3%,.288,.403,.114,6.2%,15.2%
167,Nick Solak,TEX,96,200,177,46,5,27.4%,13.5%,.260,.379,.119,6.5%,20.5%
168,Mauricio Dubon,- - -,60,116,109,30,5,36.6%,14.7%,.275,.459,.183,5.2%,12.9%
169,Gio Urshela,- - -,107,220,206,58,5,30.0%,10.4%,.282,.432,.150,5.0%,21.8%
170,Luis Torrens,SEA,97,200,186,47,9,32.8%,20.0%,.253,.462,.210,6.0%,25.0%
171,Freddy Galvis,- - -,66,118,112,30,5,43.5%,12.5%,.268,.464,.196,4.2%,16.9%
172,Jorge Polanco,MIN,138,296,276,74,11,44.6%,11.0%,.268,.453,.185,4.4%,16.6%
173,Marwin Gonzalez,- - -,67,131,124,33,3,28.1%,11.1%,.266,.444,.177,5.3%,20.6%
174,Justin Turner,LAD,127,267,237,57,12,46.9%,13.3%,.241,.430,.190,9.4%,18.0%
175,Tyrone Taylor,MIL,82,155,143,36,6,40.6%,14.0%,.252,.427,.175,5.8%,23.9%
176,Alex Bregman,HOU,109,246,210,52,5,44.6%,6.3%,.248,.371,.124,13.4%,13.8%
177,Cedric Mullins II,BAL,148,365,332,87,11,38.0%,11.3%,.262,.410,.148,6.6%,20.3%
178,Eric Hosmer,SDP,133,243,230,67,5,24.9%,10.6%,.291,.409,.117,3.7%,16.9%
179,Kurt Suzuki,LAA,62,129,114,26,6,39.8%,16.2%,.228,.412,.184,6.2%,15.5%
180,Anthony Rendon,LAA,66,136,111,23,6,40.4%,15.8%,.207,.396,.189,16.2%,14.7%
181,Guillermo Heredia,ATL,71,132,117,27,2,36.5%,6.5%,.231,.419,.188,9.1%,25.0%
182,Asdrubal Cabrera,- - -,65,123,109,28,2,30.6%,7.7%,.257,.394,.138,9.8%,20.3%
183,Christian Arroyo,BOS,57,114,106,28,4,39.5%,12.5%,.264,.443,.179,2.6%,22.8%
184,Jesus Aguilar,MIA,94,194,164,39,6,47.5%,10.5%,.238,.396,.159,11.9%,24.7%
185,Dylan Moore,SEA,122,230,192,39,9,50.4%,12.9%,.203,.375,.172,14.3%,23.0%
186,Yadier Molina,STL,61,112,103,26,3,47.1%,7.3%,.252,.427,.175,7.1%,15.2%
187,Joey Votto,CIN,130,247,209,45,6,30.7%,14.3%,.215,.368,.153,12.6%,29.6%
188,J.T. Realmuto,PHI,123,249,219,52,5,31.2%,10.2%,.237,.393,.155,10.0%,25.3%
189,Trent Grisham,SDP,120,226,191,43,7,33.1%,15.6%,.225,.387,.162,9.7%,21.2%
190,Mark Canha,- - -,131,303,265,59,10,38.8%,12.5%,.223,.385,.162,10.2%,19.5%
191,Brandon Crawford,SFG,123,210,186,45,7,43.3%,11.5%,.242,.403,.161,8.1%,22.4%
192,Phil Gosselin,- - -,77,165,150,42,2,43.5%,3.7%,.280,.353,.073,7.9%,15.2%
193,Aaron Hicks,NYY,50,108,93,22,4,31.8%,19.0%,.237,.376,.140,12.0%,25.9%
194,Adam Frazier,- - -,136,258,233,60,4,27.2%,7.5%,.258,.382,.124,6.6%,15.1%
195,Luke Voit,- - -,81,172,148,35,3,31.9%,10.0%,.236,.351,.115,12.8%,31.4%
196,Rowdy Tellez,- - -,87,130,117,29,4,36.4%,12.5%,.248,.376,.128,7.7%,22.3%
197,Luis Rengifo,LAA,57,115,103,26,5,33.7%,17.9%,.252,.408,.155,5.2%,17.4%
198,David Bote,CHC,59,104,92,20,4,43.9%,13.8%,.217,.424,.207,9.6%,26.0%
199,Nick Ahmed,ARI,86,174,159,37,4,39.2%,8.2%,.233,.440,.208,7.5%,20.1%
200,Victor Robles,WSN,94,180,150,37,1,38.8%,2.5%,.247,.327,.080,10.0%,22.2%
201,Austin Nola,SDP,75,161,146,42,1,40.2%,1.9%,.288,.370,.082,6.2%,10.6%
202,Niko Goodrum,- - -,55,116,102,26,2,22.4%,13.3%,.255,.363,.108,10.3%,31.0%
203,Anthony Santander,BAL,119,251,230,58,8,38.9%,12.7%,.252,.413,.161,6.4%,28.3%
204,Francisco Lindor,NYM,127,264,231,55,8,42.5%,9.8%,.238,.390,.152,10.2%,15.2%
205,Stephen Piscotty,OAK,64,123,109,27,2,38.1%,6.3%,.248,.367,.119,10.6%,20.3%
206,Hanser Alberto,- - -,98,178,170,47,3,38.8%,5.3%,.276,.418,.141,2.2%,12.4%
207,Odubel Herrera,PHI,100,191,174,46,3,25.7%,8.3%,.264,.385,.121,4.7%,16.2%
208,Joey Gallo,- - -,143,278,233,42,12,49.1%,21.8%,.180,.373,.193,14.7%,41.4%
209,Oscar Mercado,CLE,77,153,138,35,2,37.3%,4.9%,.254,.370,.116,8.5%,17.6%
210,Gary Sanchez,- - -,98,195,173,35,9,49.2%,15.0%,.202,.416,.214,10.3%,26.2%
211,Lourdes Gurriel Jr.,TOR,120,208,195,52,5,27.8%,11.9%,.267,.415,.149,4.8%,22.1%
