Team,Ballpark,Date,Count,Starter HR,BP HR,Top 6 Profit,Lineup Profit,Weather,Time,Series Game,Opp,Starter,Starter Stats,HR1,Odds,HR2,Odds,HR3,Odds,HR4,Odds,HR5,Odds,HR6,Odds,HR7,Odds,HR8,Odds,HR9,Odds
BAL,Oriole Park at Camden Yards,5/5/2022,5,,, $(60.00), $(90.00),67,,,,,,,,,,,,,,,,,,,,,,,
SD,Petco Park,5/5/2022,2,,, $(60.00), $(90.00),63,,,,,,,,,,,,,,,,,,,,,,,
TOR,Progressive Field,5/5/2022,2,,, $(60.00), $(90.00),52,,,,,,,,,,,,,,,,,,,,,,,
SEA,T-Mobile Park,5/5/2022,2,,, $(60.00), $(90.00),52,,,,,,,,,,,,,,,,,,,,,,,
ARI,Chase Field,5/6/2022,2,,, $(60.00), $(90.00),96,,,,,,,,,,,,,,,,,,,,,,,
HOU,Minute Maid Park,5/6/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
MIN,Target Field,5/6/2022,2,,, $(60.00), $(90.00),68,,,,,,,,,,,,,,,,,,,,,,,
SEA,T-Mobile Park,5/6/2022,3,,, $(60.00), $(90.00),50,,,,,,,,,,,,,,,,,,,,,,,
ATL,Truist Park,5/6/2022,2,,, $(60.00), $(90.00),75,,,,,,,,,,,,,,,,,,,,,,,
LAA,Angel Stadium,5/7/2022,2,,, $(60.00), $(90.00),70,,,,,,,,,,,,,,,,,,,,,,,
CIN,Great American Ball Park,5/23/2022,3,,, $(60.00), $(90.00),65,,,,,,,,,,,,,,,,,,,,,,,
PIT,Great American Ball Park,5/7/2022,4,,, $(60.00), $(90.00),117,,,,,,,,,,,,,,,,,,,,,,,
SF,Oracle Park,5/7/2022,3,,, $(60.00), $(90.00),61,,,,,,,,,,,,,,,,,,,,,,,
MIA,Petco Park,5/7/2022,2,,, $(60.00), $(90.00),63,,,,,,,,,,,,,,,,,,,,,,,
TB,T-Mobile Park,5/7/2022,3,,, $(60.00), $(90.00),47,,,,,,,,,,,,,,,,,,,,,,,
LAD,Wrigley Field,5/7/2022,2,,, $(60.00), $(90.00),113,,,,,,,,,,,,,,,,,,,,,,,
NYM,Citizens Bank Park,5/8/2022,2,,, $(60.00), $(90.00),57,,,,,,,,,,,,,,,,,,,,,,,
PHI,Citizens Bank Park,5/8/2022,2,,, $(60.00), $(90.00),57,,,,,,,,,,,,,,,,,,,,,,,
CIN,Great American Ball Park,5/26/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
PIT,Great American Ball Park,5/8/2022,2,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
HOU,Minute Maid Park,5/8/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
SF,Oracle Park,5/8/2022,2,,, $(60.00), $(90.00),56,,,,,,,,,,,,,,,,,,,,,,,
ATL,Truist Park,5/8/2022,2,,, $(60.00), $(90.00),61,,,,,,,,,,,,,,,,,,,,,,,
NYY,Yankee Stadium,5/8/2022,2,,, $(60.00), $(90.00),57,,,,,,,,,,,,,,,,,,,,,,,
TEX,Yankee Stadium,5/8/2022,3,,, $(60.00), $(90.00),57,,,,,,,,,,,,,,,,,,,,,,,
