MLBID,t2,t4,t7,t11,t39,HR_hat,,,,,,,,,,,,,,,,,,,,,
663728,0.909,21.08,0.1188,101.12,90.16,0.099759858,,,,,,,,,,,,,,,,,,,,,
467793,0.909,17.96,0.0478,104.60,90.16,0.143597941,,,,,,,,,,,,,,,,,,,,,
553993,1.062,19.96,0.0819,101.60,88.89,0.094207789,,,,,,,,,,,,,,,,,,,,,
641487,0.909,10.23,0.0071,100.20,90.16,0.103402992,,,,,,,,,,,,,,,,,,,,,
608385,0.909,20.08,0.0339,98.76,90.16,0.108373787,,,,,,,,,,,,,,,,,,,,,
677594,1.062,9.53,0.0654,107.40,88.89,0.172313646,,,,,,,,,,,,,,,,,,,,,
571745,1.062,17.84,0.0723,103.70,88.89,0.068255112,,,,,,,,,,,,,,,,,,,,,
664034,1.062,12.85,0.0530,99.24,88.89,0.116262906,,,,,,,,,,,,,,,,,,,,,
596103,1.141,9.28,0.0375,100.58,87.78,0.11378211,,,,,,,,,,,,,,,,,,,,,
543063,0.999,15.56,0.0274,98.80,83.97,0.117993139,,,,,,,,,,,,,,,,,,,,,
446334,1.141,19.95,0.1000,103.40,87.78,0.061441182,,,,,,,,,,,,,,,,,,,,,
605204,1.141,14.65,0.0563,105.40,87.78,0.120210273,,,,,,,,,,,,,,,,,,,,,
592626,0.999,4.92,0.0769,104.90,83.97,0.115802365,,,,,,,,,,,,,,,,,,,,,
663698,1.141,13.28,0.1500,101.96,87.78,0.166525248,,,,,,,,,,,,,,,,,,,,,
664774,0.999,14.29,0.0000,100.18,83.97,0.150495449,,,,,,,,,,,,,,,,,,,,,
670768,0.999,4.85,0.0169,99.18,83.97,0.294672797,,,,,,,,,,,,,,,,,,,,,
573262,0.999,19.45,0.0645,101.10,83.97,0.141184056,,,,,,,,,,,,,,,,,,,,,
642731,1.141,10.81,0.0680,98.16,87.78,0.059341089,,,,,,,,,,,,,,,,,,,,,
600303,0.999,23.94,0.0000,97.70,83.97,0.070118124,,,,,,,,,,,,,,,,,,,,,
527038,1.141,26.37,0.0348,98.64,87.78,0.070014767,,,,,,,,,,,,,,,,,,,,,
405395,0.769,15.32,0.0200,105.22,87.71,0.154460156,,,,,,,,,,,,,,,,,,,,,
668800,0.769,15.72,0.0079,96.68,87.71,0.107079528,,,,,,,,,,,,,,,,,,,,,
680977,0.852,7.09,0.0149,97.40,91.58,0.046616942,,,,,,,,,,,,,,,,,,,,,
572816,0.852,13.16,0.0338,94.22,91.58,0.117050196,,,,,,,,,,,,,,,,,,,,,
666185,0.852,10.59,0.0230,96.80,91.58,0.099591561,,,,,,,,,,,,,,,,,,,,,
663457,0.852,12.13,0.0625,99.62,91.58,0.166663197,,,,,,,,,,,,,,,,,,,,,
571448,0.769,21.45,0.0552,103.46,87.71,0.152017379,,,,,,,,,,,,,,,,,,,,,
669357,0.852,19.34,0.0915,98.50,91.58,0.068406177,,,,,,,,,,,,,,,,,,,,,
657557,0.769,22.04,0.0741,99.74,87.71,0.172618037,,,,,,,,,,,,,,,,,,,,,
502671,0.769,15.14,0.0796,104.22,87.71,0.171410135,,,,,,,,,,,,,,,,,,,,,
669242,0.852,9.15,0.0274,104.32,91.58,0.129542465,,,,,,,,,,,,,,,,,,,,,
641933,0.769,13.19,0.0539,103.20,87.71,0.169966405,,,,,,,,,,,,,,,,,,,,,
425877,0.769,17.00,0.0153,95.52,87.71,0.040690228,,,,,,,,,,,,,,,,,,,,,
542194,0.905,9.11,0.0598,103.28,91.52,0.084598288,,,,,,,,,,,,,,,,,,,,,
444482,0.955,16.39,0.0487,99.80,88.87,0.132709675,,,,,,,,,,,,,,,,,,,,,
642336,0.955,16.96,0.0442,97.58,88.87,0.156400693,,,,,,,,,,,,,,,,,,,,,
623912,0.905,2.39,0.0172,104.46,91.52,0.156414612,,,,,,,,,,,,,,,,,,,,,
670623,0.905,15.74,0.0759,98.90,91.52,0.168136283,,,,,,,,,,,,,,,,,,,,,
596847,0.955,11.20,0.0526,100.76,88.87,0.130041828,,,,,,,,,,,,,,,,,,,,,
642350,0.905,14.13,0.0351,100.58,91.52,0.125579123,,,,,,,,,,,,,,,,,,,,,
622534,0.905,12.62,0.0152,102.76,91.52,0.168295762,,,,,,,,,,,,,,,,,,,,,
668227,0.905,8.49,0.0468,104.70,91.52,0.086733313,,,,,,,,,,,,,,,,,,,,,
670764,0.955,14.57,0.0337,96.40,88.87,0.08865457,,,,,,,,,,,,,,,,,,,,,
650490,0.905,6.03,0.0193,105.60,91.52,0.09221372,,,,,,,,,,,,,,,,,,,,,
666969,1.158,12.09,0.0642,103.16,88.52,0.13806183,,,,,,,,,,,,,,,,,,,,,
543543,1.106,13.14,0.0313,97.42,87.43,0.095308718,,,,,,,,,,,,,,,,,,,,,
608369,1.106,15.19,0.0610,101.40,87.43,0.140240157,,,,,,,,,,,,,,,,,,,,,
677649,1.158,9.30,0.0261,105.14,88.52,,,,,,,,,,,,,,,,,,,,,,
641680,1.106,18.99,0.0437,102.72,87.43,0.147019329,,,,,,,,,,,,,,,,,,,,,
594777,1.106,15.75,0.0514,102.38,87.43,0.132606435,,,,,,,,,,,,,,,,,,,,,
665750,1.106,13.52,0.0078,102.20,87.43,0.187889085,,,,,,,,,,,,,,,,,,,,,
543760,1.158,19.65,0.0496,98.30,88.52,0.108861295,,,,,,,,,,,,,,,,,,,,,
663993,1.106,9.97,0.0547,104.60,87.43,0.131908918,,,,,,,,,,,,,,,,,,,,,
672386,1.264,7.87,0.0400,102.72,89.51,,,,,,,,,,,,,,,,,,,,,,
666182,1.264,9.01,0.0490,100.60,89.51,0.137953369,,,,,,,,,,,,,,,,,,,,,
624415,1.169,19.49,0.0431,102.78,85.73,0.099766625,,,,,,,,,,,,,,,,,,,,,
643376,1.264,23.69,0.0909,102.76,89.51,0.046939716,,,,,,,,,,,,,,,,,,,,,
543807,1.264,12.99,0.0613,102.50,89.51,0.25775723,,,,,,,,,,,,,,,,,,,,,
